"ID_ANALISE","ID_COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"9566","278501","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1154","67.8","38.26","C","1YIH","-0.26808977","-3.5470724","-1.0639131"
"9567","278523","SUAP","HOUS","208.8","17.6","22.399998","1","1","0","0","219","19","18.3","L","9778","4.8850536","7.954538","-18.303568"
"9568","278540","HOUS","FREE","52.5","4.35","5.35","1","1","0","0","49","4","4.7","L","9778","-6.666666","-8.045978","-12.149536"
"9569","278555","MAUS","COAR","235.31624","23.401955","14.880716","1","0","0","0","220","20.9","12.19","L","20Y4","-6.5087914","-10.691219","-18.081903"
"9570","278561","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1101","64.6","35.3","C","1YJC","-4.8484983","-8.099424","-8.718139"
"9571","278562","MAUS","COAR","235.31624","23.401955","14.880716","1","0","0","0","240","20.8","9.91","L","1YLJ","1.9904137","-11.118537","-33.403744"
"9572","278587","BELM","MAUS","852.3582","69.99224","37.181194","0","0","0","0","1077","92.2","32.26","L","1YLJ","26.355326","31.728888","-13.235712"
"9573","278614","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","1","1","105","9.2","11.6","C","25DB","1.9227147","0.30401945","8.403433"
"9574","278615","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","615","61.4","59.079998","C","25DB","86.75393","115.350006","106.57094"
"9575","278617","SIKK","CTOW","70","6.5","12.1","1","1","1","1","70","6.5","12.1","C","22TQ","0","0","0"
"9576","278624","FREE","SUAP","202.5","14.285","22.7","1","1","0","0","204","15.2","19.8","C","9778","0.7407427","6.405318","-12.775337"
"9577","278644","FAZE","MAUS","288.3611","26.556526","29.627085","0","0","0","0","5","0.7","0.5","C","25WL","-98.26607","-97.36411","-98.312355"
"9578","278647","SUAP","FAZE","194.72223","17.168333","19.551668","0","0","0","0","158","13.92","12.2","C","25WL","-18.858778","-18.920494","-37.601234"
"9579","278681","COAR","MAUS","235.30624","14.136591","10.62653","0","0","0","0","13","1","0.58","C","20Y4","-94.47529","-92.926155","-94.54196"
"9580","278714","SAOL","BELM","83.97","6.7306004","7.3609986","0","0","0","0","69","4.7","4.6","C","1CQ3","-17.827797","-30.169678","-37.50848"
