"ID_ANALISE","COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"10481","289594","COAR","CODA","72.5","4.05625","2.12875","1","1","1","1","71","4.33","2.46","C","25R5","-2.0689666","6.748843","15.56077"
"10482","289595","MAUS","COAR","235.31624","23.401955","14.880716","1","1","1","1","232","21.38","12.6","L","25R5","-1.4092684","-8.640117","-15.326654"
"10483","289596","CODA","COAR","120","11.405001","4.625","0","0","0","0","76","8","3.18","L","28VV","-36.666668","-29.85533","-31.24324"
"10484","289597","MAUS","CODA","150.25","12.8125","8.1925","1","1","0","0","144","12.7","6.5","L","1YJC","-4.1597366","-0.87804794","-20.659143"
"10485","289609","MAUS","ITAC","103.29032","5.9573116","7.444945","1","1","1","1","93","6","6.9","C","257J","-9.9625225","0.71656704","-7.319659"
"10486","289613","FREE","GAPA","50","4","2.3","1","1","1","1","50","4","2.3","C","1VCY","0","0","0"
"10487","289614","GAPA","SUAP","362","31.615","23.8","1","1","1","1","360","30","21.9","C","1VCY","-0.5524874","-5.1083326","-7.9831896"
"10488","289731","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","597","52.25","46","C","1HZM","81.28797","83.25795","60.83722"
"10489","289739","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","446","46.5","43.8","C","25DB","35.434555","63.0908","53.145004"
"10490","289794","CODA","BELM","1002","61.62857","35.27429","1","1","1","1","1042","68","35.63","C","1YJC","3.992021","10.338438","1.0084152"
"10491","289817","COAR","CODA","72.5","4.05625","2.12875","1","1","1","1","72","4.4","1.9300001","C","28VV","-0.68965554","8.474577","-9.336466"
"10492","289833","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","234","23.9","8.17","L","1YIH","-0.55934787","2.1282196","-45.096733"
"10493","289839","BELM","MAUS","852.3582","69.99224","37.181194","0","0","1","0","1075","91.7","34.5","L","1YIH","26.120686","31.014515","-7.211155"
"10494","289865","CODA","COAR","120","11.405001","4.625","0","0","0","0","71","7.18","2.44","L","25R5","-40.833336","-37.045162","-47.243244"
"10495","289873","COAR","BELM","1157.102","70.29336","38.67143","1","1","0","0","1016","68","30.25","C","25R5","-12.194437","-3.2625556","-21.776873"
"10496","289898","BELM","MAUS","852.3582","69.99224","37.181194","1","1","1","1","884","71.9","36.190002","L","1YJC","3.7122607","2.7256727","-2.6658416"
"10497","289901","CODA","COAR","120","11.405001","4.625","0","0","0","0","67","6.5","3.5","L","20Y4","-44.166668","-43.007458","-24.324322"
"10498","289907","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","606","59","76","C","1BW2","84.02095","106.93243","165.73105"
"10499","289915","SALV","CABE","30","5","8","0","0","0","0","18","2","2.1","C","17HL","-39.999996","-60.000004","-73.75"
"10500","289922","MAUS","COAR","236.76471","23.310589","14.2658825","1","1","0","0","237","24.2","10.03","C","28VV","0.099372864","3.815484","-29.6924"
"10501","289928","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","621","61","57.6","C","17MT","88.57592","113.94708","101.39616"
"10502","290010","VITR","ALTO","27","3.3","2.14","1","1","1","1","27","3.3","2.14","L","12BF","0","0","0"
"10503","290027","XARE","MAUS","871.8611","86.91389","85.10917","1","1","1","1","899","88.5","68.6","C","0RRF","3.1127572","1.8249273","-19.39764"
"10504","290067","MAUS","ITAC","103.29032","5.9573116","7.444945","1","1","0","0","108","6","5","C","1HZM","4.559648","0.71656704","-32.840336"
"10505","290068","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","0","0","100","7.5","31.5","C","1HZM","-2.9307485","-18.230421","194.37138"
