"ESPT_CD_ID","EMBA_CD_ID","PORT_CD_ID_ORIGEM","PORT_CD_ID_DESTINO","ESPT_TX_NUM_ESCALA","ESPT_DT_QTO_BOLETIM","ESPT_DT_QTP_BOLETIM","ESPT_NR_DIST_NAVEGADA","ESPT_NR_DIST_TABELADA","ESPT_NR_COMB_EXI_MFO","ESPT_NR_OLEO_PESADO","ESPT_NR_COMB_EXI_MDO_MGO","ESPT_NR_OLEO_DIESEL","ESPT_MD_VELOC_TP","ESPT_MD_CONS_FO","ESPT_MD_CONS_DO","ESPT_IN_CARGA_LASTRO","CEVG_NR_TEMPO","CEVG_NR_OLEO_PESADO","CEVG_NR_OLEO_DIESEL","CEVG_NR_DISTANCIA_NAV","CONSUMO_FO_VIAGEM","CONSUMO_DO_VIAGEM","CONSUMO_TOTAL","CONSUMO_MEDIO_VIAGEM","CONSUMO_FO_DCE","CONSUMO_DO_DCE","CONSUMO_TOTAL_DCE","CONSUMO_MEDIO_DCE","CONSUMO_DO_FCE","CONSUMO_FO_FCE","CONSUMO_TOTAL_FCE","CONSUMO_MEDIO_FCE","VELOC_MEDIA_VIAGEM","VELOC_MEDIA_FCE","VELOC_MEDIA_DCE","TEMPO_VIAGEM","VALOR_PORTO","VEREDITO"
"233728","1HZM","ALTO","BELM","273","11/6/2015 10:00 AM","11/7/2015 9:30 AM","380","422","880","115","910","115","13","30","1","2","4","6","0","85","30","0","30","12.67","6","0","6","14.17","0","24","24","12.29","0.53","0.41","21.25","719","111","1"
"225853","139","ALTO","FAZE","1453","2/5/2015 12:01 AM","2/7/2015 2:30 AM","620","570","463","102","507","103","12.3","23","0.5","2","20","11","0.35","180","44","1","45","13.78","11","0.35","11.35","15.86","0.65","33","33.65","13.08","0.42","0.3","9","1466","113","1"
"274031","17MJ","ALTO","ITAC","739","12/12/2018 1:12 AM","12/12/2018 3:28 AM","12","12","881","133","883.5","134","13","30","1","2","0","2.5","1","12","2.5","1","3.5","3.43","2.5","1","3.5","3.43","0","0","0","0","6","0","0","2","117","1"
"152031","0YLN","ALTO","SUAP","5","10/25/2010 3:36 PM","10/25/2010 4:48 PM","4","4","442.51","71.73","442.55","71.9","14.5","18","1.25","1","1.3","0.04","0.17","4","0.04","0.17","0.21","19.05","0.04","0.17","0.21","19.05","0","0","0","0","4","0","3.08","1","124","1"
"244061","09XB","AMST","SAOL","49","11/20/2016 8:00 PM","12/3/2016 12:00 PM","4156","4156","502.7","136.5","878.9","183.1","13","33","0.1","2","33.8","0","45.6","424","376.2","46.6","422.8","9.83","0","45.6","45.6","9.3","1","376.2","377.2","9.89","13.67","13.81","12.54","304","140","1"
"264384","5933","AMST","SAOL","367","3/23/2018 2:18 PM","4/6/2018 2:30 PM","4394","4156","462.7","271.5","854.6","310","13","35","0.1","2","34.9","0","41.5","448","391.9","38.5","430.4","10.21","0","41.5","41.5","10.8","-3","391.9","388.9","10.15","2.51","2.3","12.84","1752","140","1"
"273246","1A96","AMST","SAOL","97","11/23/2018 2:00 PM","12/6/2018 4:00 PM","4210","4116","451.3","326","796.2","405.9","12","27","0","2","34","0","58.7","422","344.9","79.9","424.8","9.91","0","58.7","58.7","7.19","21.2","344.9","366.1","10.35","13.41","13.53","12.41","314","140","1"
"235827","1TLP","AMST","SUAP","5","1/11/2016 2:00 PM","1/25/2016 3:00 AM","4238","4433","782.5","67.8","1128.2","115.8","13","35","0.1","2","37.5","0","47.6","424","345.7","48","393.7","10.76","0","47.6","47.6","8.91","0.4","345.7","346.1","11.02","13.04","13.27","11.31","325","143","1"
"271257","257J","AMST","SUAP","7","9/12/2018 10:48 AM","9/26/2018 12:18 PM","4246","4433","485.5","252.6","790.6","292","13","31","0.1","2","29.9","0","38.2","418","305.1","39.4","344.5","12.33","0","38.2","38.2","10.94","1.2","305.1","306.3","12.5","12.6","12.46","13.98","337","143","1"
"273615","257J","AMST","SUAP","15","12/1/2018 12:30 AM","12/14/2018 3:30 PM","4246","4433","545.1","187.3","900.7","230.2","13","31","0.1","2","32.5","0","41.9","409","355.6","42.9","398.5","10.65","0","41.9","41.9","9.76","1","355.6","356.6","10.76","0.53","0.48","12.58","8079","143","1"
"246320","0ADJ","ANTU","SUAP","121","1/16/2017 8:30 AM","1/28/2017 12:00 PM","4104","4229","634.5","423.3","972.7","448.3","14","33","0.1","1","22.75","0","25","319","338.2","25","363.2","11.3","0","25","25","12.76","0","338.2","338.2","11.19","14.1","14.11","14.02","291","160","1"
"121388","120","ARAP","MACE","1177","9/27/2009 11:30 AM","9/27/2009 7:50 PM","122","122","1128","170","1130","172","12","24","1","1","1.33","1.25","0.05","11","2","2","4","30.5","1.25","0.05","1.3","8.46","1.95","0.75","2.7","41.11","15.25","16.64","8.27","8","168","1"
"123751","120","ARAP","MACE","1187","10/11/2009 2:30 PM","10/11/2009 11:00 PM","122","122","969","106.3","976","107.8","12","24","1","1","1.28","1.21","0","13","7","1.5","8.5","14.35","1.21","0","1.21","10.74","1.5","5.79","7.29","14.95","15.25","16.22","10.16","8","168","1"
"127310","120","ARAP","MACE","1207","11/13/2009 4:00 PM","11/14/2009 12:30 AM","122","122","669.97","171.46","676.97","172.96","12","24","1","1","1.28","1.22","0.05","11","7","1.5","8.5","14.35","1.22","0.05","1.27","8.66","1.45","5.78","7.23","15.35","15.25","16.52","8.59","8","168","1"
"207356","7396","ARAP","MAUS","857","10/25/2013 4:30 PM","11/2/2013 12:00 AM","2216","2216","231.6","71.8","458","71.8","13","32","0","2","73","92.1","0","864","226.4","0","226.4","9.79","92.1","0","92.1","9.38","0","134.3","134.3","10.07","12.66","13.25","11.84","175","169","1"
"215147","0RRF","ARAP","MAUS","257","3/19/2014 10:30 AM","3/27/2014 9:42 PM","2233","2233","421.3","55","631","55","12","31","0","2","84","96.4","0","868","209.7","0","209.7","10.65","96.4","0","96.4","9","0","113.3","113.3","12.05","11","11.47","10.33","203","169","1"
"221791","1LH8","ARAP","MAUS","101","10/1/2014 11:00 AM","10/9/2014 6:00 AM","2055","2055","552.6","24.27","737.66","38.25","13.5","31.5","1.8","2","91","80","7.04","883","185.06","13.98","199.04","10.32","80","7.04","87.04","10.14","6.94","105.06","112","10.46","0.35","0.2","9.7","5827","169","1"
"226398","0RRF","ARAP","MAUS","347","2/16/2015 4:00 PM","2/25/2015 4:30 AM","2237","2237","738.9","124.1","943.7","124.1","12","28.5","0","2","83.5","88.8","0","871","204.8","0","204.8","10.92","88.8","0","88.8","9.81","0","116","116","11.78","10.97","11.34","10.43","204","169","1"
